"SubmissionDate","start","end","Enumerator","agf","localname","genus","species","newspecies","dbh","height","canopy diameter","latitude","longitude","altitude","accuracy","key","genus_species","height_m","genusCorr","speciesCorr","meanWD","sdWD","family","AGB","AGB_Chave2014"
2024-10-13 05:19:51.682,2024-10-12 12:50:32.676,2024-10-12 12:52:21.076,"david_makori","natural_forest_agroforestry","Acacia","acacia","tortilis","no",25,220,320,-1.282999,35.9740508,1756.7,4.916,"uuid:aafa19cc-1fb2-4e34-aa6e-1d9dff71279c","Acacia tortilis",2.2,"Acacia","tortilis",0.787831280193237,0.0941339098036177,"Fabaceae",5.51972346632162,61.6477627744655
2024-10-13 05:19:20.015,2024-10-12 12:35:34.872,2024-10-12 12:37:17.732,"david_makori","natural_forest_agroforestry","Acacia","acacia","tortilis","no",25,550,450,-1.2826459,35.9733686,1721.7,4.866,"uuid:0f1799ed-a68c-471b-a83c-88e84a120666","Acacia tortilis",5.5,"Acacia","tortilis",0.787831280193237,0.0941339098036177,"Fabaceae",13.4991607475316,150.767165148
2024-10-13 05:17:30.488,2024-10-12 08:53:46.88,2024-10-12 08:56:13.9,"david_makori","pasture_agroforestry","Acacia","acacia","nilotica","no",25,250,350,-1.1068207,35.893873,1942.5,4.72,"uuid:8a74f9e0-ba61-4831-80b9-edf4cb2e281d","Acacia nilotica",2.5,"Acacia","nilotica",0.723333333333333,0.0708232617216773,"Fabaceae",5.75304492289338,64.2536443721016
2024-10-13 05:17:24.105,2024-10-12 08:49:31.514,2024-10-12 08:53:43,"david_makori","pasture_agroforestry","Acacia","acacia","nilotica","no",35,650,850,-1.1067244,35.893692,1941.8,4.42,"uuid:2563f024-41b1-48e4-a0ef-41bbe76cde26","Acacia nilotica",6.5,"Acacia","nilotica",0.723333333333333,0.0708232617216773,"Fabaceae",28.1938041464461,314.886236662888
2024-10-12 20:36:43.115,2024-10-12 13:45:58.076,2024-10-12 13:47:42.442,"juliet_onditi","pasture_agroforestry","Acacia","acacia","mellifera","no",35,250,12,-1.3316612,35.9873658,1517.8,4,"uuid:2ae155f1-6c08-4597-8067-433e5e8149bf","Acacia mellifera",2.5,"Acacia","mellifera",0.947,0.0708232617216773,"Fabaceae",14.4325448166969,161.191788777146
2024-10-12 20:36:36.541,2024-10-12 13:42:43.648,2024-10-12 13:45:48.152,"juliet_onditi","pasture_agroforestry","Acacia","acacia","mellifera","no",20,210,6,-1.3317379,35.987292,1518.1,4.12,"uuid:1250e0e8-0e80-421f-a413-f63fbbd29022","Acacia mellifera",2.1,"Acacia","mellifera",0.947,0.0708232617216773,"Fabaceae",4.08346866126235,45.6067607122761
2024-10-12 20:36:17.901,2024-10-12 13:38:29.365,2024-10-12 13:39:38.357,"juliet_onditi","pasture_agroforestry","Acacia","acacia","nilotica","no",15,200,10,-1.3320546,35.9873698,1518.1,4.54,"uuid:4acb745d-b36c-4d9b-9060-6df2f38f3715","Acacia nilotica",2,"Acacia","nilotica",0.723333333333333,0.0708232617216773,"Fabaceae",1.70712307737441,19.0662302455753
2024-10-12 20:36:13.356,2024-10-12 08:56:50.51,2024-10-12 08:59:58.381,"juliet_onditi","pasture_agroforestry","Acacia","acacia","nilotica","no",50,300,20,-1.106719,35.8934979,1927.1,4.983,"uuid:d7948e13-5e99-4ab3-a53e-a8d8eb46c223","Acacia nilotica",3,"Acacia","nilotica",0.723333333333333,0.0708232617216773,"Fabaceae",26.594339764538,297.022406820017
2024-10-12 20:35:22.203,2024-10-12 13:23:29.856,2024-10-12 13:27:19.107,"sarah_mwangi","pasture_agroforestry","Acay","acacia","xanthophloea","no",80,1200,530,-1.3323291,35.9869987,1514.6,4.96,"uuid:41caa896-3f94-40a6-a403-c6d919f6bb66","Acacia xanthophloea",12,"Acacia","xanthophloea",0.758,0.0708232617216773,"Fabaceae",269.578194110536,3010.81977405112
2024-10-12 20:35:17.06,2024-10-12 13:31:40.267,2024-10-12 13:34:49.562,"sarah_mwangi","pasture_agroforestry","Acacia","acacia","xanthophloea","no",90,850,400,-1.3320229,35.9868321,1514.4,4.8,"uuid:4fcc6a94-abf1-4df2-aaac-3f26a1759960","Acacia xanthophloea",8.5,"Acacia","xanthophloea",0.758,0.0708232617216773,"Fabaceae",242.307277964333,2706.24093428112
